player,routes,fp_targets,fp_tprr
Devaughn Vele,55,9,.16
Chris Olave,51,13,.25
Bryce Lance,44,4,.09
DK Metcalf,41,10,.24
Matthew Golden,40,11,.28
Tetairoa McMillan,39,8,.21
Amon-Ra St. Brown,39,13,.33
Christian Watson,37,7,.19
Jameson Williams,37,9,.24
Michael Pittman,36,3,.08
Malik Washington,36,8,.22
Ja'Marr Chase,36,4,.11
Jalen Coker,35,9,.26
Nico Collins,35,10,.29
Michael Wilson,35,7,.20
Terry McLaurin,35,4,.11
Wan'Dale Robinson,33,6,.18
Carnell Tate,33,6,.18
Marvin Harrison,33,3,.09
DeMario Douglas,32,7,.22
Caleb Douglas,30,6,.20
Tee Higgins,30,6,.20
Chris Godwin,30,4,.13
Isaac TeSlaa,30,0,0
Justin Jefferson,29,9,.31
Kendrick Bourne,29,8,.28
Emeka Egbuka,29,6,.21
DeVonta Smith,29,5,.17
Josh Downs,29,4,.14
George Pickens,29,6,.21
Jayden Reed,29,7,.24
Romeo Doubs,29,3,.10
CeeDee Lamb,28,8,.29
Ted Hurst,28,3,.11
Makai Lemon,28,4,.14
Dontayvion Wicks,27,4,.15
Denzel Boston,27,4,.15
Xavier Hutchinson,27,6,.22
Tre Tucker,27,4,.15
Rashee Rice,27,2,.07
Xavier Worthy,27,6,.22
Jaylen Waddle,27,3,.11
Jaxon Smith-Njigba,26,11,.42
Luther Burden,26,5,.19
Roman Wilson,26,6,.23
Kayshon Boutte,26,2,.08
Tre Harris,26,6,.23
Quentin Johnston,26,5,.19
Rashod Bateman,26,1,.04
Xavier Legette,26,2,.08
Stefon Diggs,25,9,.36
Keenan Allen,25,6,.24
Darnell Mooney,25,2,.08
DJ Moore,24,7,.29
Drake London,24,3,.13
Jerry Jeudy,24,4,.17
Jordan Addison,24,2,.08
Malik Nabers,23,9,.39
Mike Evans,23,7,.30
Ryan Flournoy,23,4,.17
Andrei Iosivas,23,3,.13
Courtland Sutton,23,4,.17
Calvin Ridley,23,0,0
Tyquan Thornton,23,1,.04
Kalif Raymond,22,9,.41
Alec Pierce,22,6,.27
Dyami Brown,22,2,.09
Garrett Wilson,21,7,.33
Rome Odunze,21,3,.14
Mack Hollins,21,5,.24
Khalil Shakir,21,6,.29
Puka Nacua,20,9,.45
Adonai Mitchell,20,3,.15
Cooper Kupp,20,3,.15
Davante Adams,20,6,.30
Demarcus Robinson,19,3,.16
KC Concepcion,19,4,.21
Pat Bryant,19,6,.32
Malachi Fields,19,4,.21
Chris Bell,19,2,.11
Elic Ayomanor,19,3,.16
Rashid Shaheed,19,3,.16
Jalen Nailor,18,5,.28
Ladd McConkey,17,7,.41
Isaiah Williams,17,1,.06
Keon Coleman,17,1,.06
Jauan Jennings,17,1,.06
Deebo Samuel,16,7,.44
Jakobi Meyers,16,2,.13
Jahan Dotson,16,3,.19
Parker Washington,15,6,.40
Ja'Kobi Lane,15,3,.20
Jaylin Noel,14,2,.14
A.J. Brown,14,4,.29
Jahdae Walker,14,1,.07
Jordan Whittington,13,1,.08
De'Zhaun Stribling,13,0,0
Kevin Coleman,13,2,.15
Brian Thomas,12,3,.25
Josh Palmer,12,2,.17
Jack Bech,12,4,.33
LaJohntay Wester,12,2,.17
Zay Flowers,11,6,.55
Antonio Williams,11,4,.36
Konata Mumpfield,10,1,.10
Olamide Zaccheaus,9,1,.11
Xavier Smith,9,0,0
Derius Davis,9,1,.11
Troy Franklin,8,1,.13
Brenen Thompson,8,0,0
Chris Moore,7,2,.29
Jared Wayne,7,1,.14
Jonathan Mingo,7,1,.14
Jaylin Lane,7,1,.14
Jimmy Horn,7,1,.14
Josh Cameron,6,2,.33
Bo Melton,6,1,.17
Laquon Treadwell,6,1,.17
Ashton Dulin,6,1,.17
Brycen Tremayne,6,0,0
Marvin Mims,6,0,0
Kyle Williams,6,0,0
KaVontae Turpin,5,1,.20
Odell Beckham,5,0,0
Cody White,5,1,.20
Tez Johnson,5,1,.20
Dohnte Meyers,4,1,.25
Malik Benson,4,2,.50
Braxton Berrios,4,0,0
Kevin Austin,4,0,0
Isaiah Bond,4,0,0
Zachariah Branch,4,0,0
Chimere Dike,3,1,.33
Skyy Moore,3,1,.33
Jacob Cowing,3,0,0
Germie Bernard,3,0,0
Travis Hunter,2,1,.50
Chris Blair,2,0,0
Tylan Wallace,2,0,0
Darius Cooper,2,0,0
Colbie Young,2,0,0
Barion Brown,2,0,0
Omar Cooper,1,1,1
Dareke Young,1,0,0
Kaden Davis,1,0,0
Jalen Brooks,1,0,0
Kameron Johnson,1,0,0
Arian Smith,1,1,1
Cyrus Allen,1,0,0
