Name,RTE,RTE %,TGT,TPRR,1READ %,DESIGN %
Devaughn Vele,55,87.3,9,.16,22,0
Chris Olave,51,81,13,.25,29.3,0
Bryce Lance,44,69.8,4,.09,7.3,0
DK Metcalf,41,95.3,10,.24,39.1,0
Matthew Golden,40,87,11,.28,30.3,0
Tetairoa McMillan,39,88.6,8,.21,26.9,0
Amon-Ra St. Brown,39,95.1,13,.33,48,15.4
Christian Watson,37,90.2,7,.19,29.2,0
Jameson Williams,37,90.2,9,.24,32,0
Michael Pittman,36,90,3,.08,10.7,0
Malik Washington,36,83.7,8,.22,33.3,0
Ja'Marr Chase,36,85.7,4,.11,14.8,0
Jalen Coker,35,79.5,9,.26,34.8,0
Nico Collins,35,94.6,10,.29,45.5,0
Michael Wilson,35,92.1,7,.2,26.9,0
Terry McLaurin,35,92.1,4,.11,16,0
Wan'Dale Robinson,33,86.8,6,.18,24,0
Carnell Tate,33,86.8,6,.18,24,0
Marvin Harrison,33,86.8,3,.09,12,0
DeMario Douglas,32,78,7,.22,28,0
