Name,SNAP,ATT,RUSH_XTD,EXP_YDS,I5,RTE,RTE_PCT,TGT,TPRR,REC_XTD,COMBINED_XTD
AJ Dillon,11.3,5,.03,11,0,2,4.7,0,0,0,.03
Aaron Jones,42.6,12,.54,0,50,7,23.3,1,.14,0,.54
Adam Prentice,,,,,,1,3,0,0,0,0
Ameer Abdullah,8.9,4,.02,23,0,1,4.2,1,1,.01,.03
Ashton Jeanty,73.1,23,.24,36,0,19,61.3,6,.32,.4,.64
Bhayshul Tuten,48.2,15,.12,34,0,8,33.3,1,.13,.01,.13
Bijan Robinson,77.2,21,.14,35,0,21,80.8,9,.43,.05,.19
Blake Corum,22.8,10,.03,23,0,2,6.9,0,0,0,.03
Braelon Allen,39.7,10,.09,0,0,10,38.5,1,.1,.08,.17
Breece Hall,58.7,22,.74,37,66.7,8,30.8,2,.25,.01,.75
Brian Robinson,24.6,9,.07,14,0,2,7.7,0,0,0,.07
Bucky Irving,61.5,8,.14,10,0,21,58.3,7,.33,.02,.16
CJ Donaldson,16.3,2,.01,0,0,7,11.1,2,.29,.01,.02
Cam Skattebo,60.3,18,.74,23,100,10,29.4,0,0,0,.74
Chase Brown,73,16,1.13,24,100,20,54.1,6,.3,.11,1.24
Chris Brooks,55.2,7,.16,14,0,10,21.7,1,.1,0,.16
Chris Rodriguez,41.1,6,.07,0,0,7,29.2,0,0,0,.07
Christian McCaffrey,54.7,10,.25,30,0,19,52.8,8,.42,.05,.3
Chuba Hubbard,69.4,10,.57,11,100,25,58.1,3,.12,.91,1.48
Corey Kiner,11.9,6,.03,0,0,1,2.4,0,0,0,.03
D'Andre Swift,55.7,18,1.75,60,75,8,21.1,1,.13,0,1.75
David Montgomery,50.7,20,1.75,18,100,15,35.7,3,.2,.32,2.07
De'Von Achane,88,11,.14,10,0,29,78.4,4,.14,.01,.15
DeeJay Dallas,,,,,,4,13.3,1,.25,0,0
Derrick Henry,54.7,24,1.23,77,66.7,5,16.7,1,.2,.02,1.25
Devin Singletary,36.8,6,.04,0,0,17,50,4,.24,.29,.33
Dylan Laube,,,,,,5,16.1,0,0,0,0
Emanuel Wilson,6.3,2,.01,0,0,1,3.7,0,0,0,.01
