Name,SNAP,ATT,RUSH_XTD,EXP_YDS,I5,RTE,RTE_PCT,TGT,TPRR,REC_XTD,COMBINED_XTD
MarShawn Lloyd,44.8,13,.2,12,0,7,15.2,1,.14,0,.2
Mike Washington,19.4,7,.13,18,0,3,9.7,0,0,0,.13
Ollie Gordon,,,,,,1,2.7,0,0,0,0
Omarion Hampton,56.9,12,.21,14,0,10,28.6,0,0,0,.21
Quinshon Judkins,67.3,12,.32,0,100,13,43.3,2,.15,0,.32
RJ Harvey,53.2,3,0,0,0,14,42.4,4,.29,.01,.01
Rachaad White,40.3,7,.03,0,0,14,36.8,2,.14,.1,.13
Raheim Sanders,32.7,1,.03,0,0,13,43.3,3,.23,.02,.05
Ray Davis,9.6,1,0,0,0,3,9.4,0,0,0,0
Rhamondre Stevenson,85.1,18,.06,12,0,27,64.3,6,.22,.02,.08
Rico Dowdle,57.8,8,.09,0,0,21,48.8,4,.19,.01,.1
Ronnie Rivers,14,5,.08,0,0,3,10.3,1,.33,.02,.1
Samaje Perine,28.6,5,.05,0,0,8,21.6,3,.38,.01,.06
Saquon Barkley,69.8,15,.09,42,0,9,27.3,2,.22,.01,.1
Seth McGowan,,,,,,4,11.8,1,.25,.02,.02
Sione Vaki,30.1,2,.02,0,0,17,41.5,1,.06,0,.02
Tank Bigsby,11.3,1,.06,0,0,1,3,0,0,0,.06
Tony Pollard,51,7,.03,13,0,7,17.9,2,.29,.01,.04
Travis Etienne,58.1,9,.05,32,0,23,36.5,8,.35,.25,.3
Tyjae Spears,51,3,.03,10,0,14,35.9,4,.29,.02,.05
Tyler Allgeier,56.9,17,.5,11,50,15,38.5,2,.13,.09,.59
Tyrone Tracy,2.9,2,.01,0,0,,,,,,.01
Will Shipley,18.9,2,.01,0,0,7,21.2,1,.14,0,.01
Woody Marks,49.3,9,.04,22,0,16,38.1,1,.06,0,.04
