Name,RTE,TPRR,YDS,YPT,XTD
Stefon Diggs,25,.36,55,6.11,.25
Keenan Allen,25,.24,32,5.33,.29
Darnell Mooney,25,.08,27,13.5,.05
DJ Moore,24,.29,100,14.29,.03
Drake London,24,.13,29,9.67,0
Jerry Jeudy,24,.17,26,6.5,.01
Jordan Addison,24,.08,0,0,0
Malik Nabers,23,.39,69,7.67,.08
Mike Evans,23,.3,49,7,.63
Ryan Flournoy,23,.17,22,5.5,.01
Andrei Iosivas,23,.13,12,4,.67
Courtland Sutton,23,.17,11,2.75,.05
Calvin Ridley,23,0,0,,0
Tyquan Thornton,23,.04,0,0,0
Kalif Raymond,22,.41,84,9.33,.16
Alec Pierce,22,.27,61,10.17,.18
Dyami Brown,22,.09,0,0,0
Garrett Wilson,21,.33,79,11.29,.09
Rome Odunze,21,.14,52,17.33,.12
Mack Hollins,21,.24,51,10.2,.02
Khalil Shakir,21,.29,50,8.33,.05
Puka Nacua,20,.45,74,8.22,.34
Adonai Mitchell,20,.15,60,20,.19
Cooper Kupp,20,.15,35,11.67,.07
Davante Adams,20,.3,26,4.33,.02
Demarcus Robinson,19,.16,50,16.67,1.3
KC Concepcion,19,.21,43,10.75,.04
Pat Bryant,19,.32,42,7,.03
Malachi Fields,19,.21,25,6.25,.01
Chris Bell,19,.11,25,12.5,.03
Elic Ayomanor,19,.16,11,3.67,.85
Rashid Shaheed,19,.16,4,1.33,0
Jalen Nailor,18,.28,27,5.4,.05
Ladd McConkey,17,.41,82,11.71,.7
Isaiah Williams,17,.06,7,7,0
Keon Coleman,17,.06,1,1,0
Jauan Jennings,17,.06,0,0,0
Deebo Samuel,16,.44,48,6.86,1.21
Jakobi Meyers,16,.13,40,20,.81
Jahan Dotson,16,.19,19,6.33,.01
Parker Washington,15,.4,83,13.83,.75
Ja'Kobi Lane,15,.2,11,3.67,.08
Jaylin Noel,14,.14,53,26.5,.19
A.J. Brown,14,.29,26,6.5,.01
Jahdae Walker,14,.07,1,1,.96
Jordan Whittington,13,.08,8,8,.01
De'Zhaun Stribling,13,0,0,,0
Kevin Coleman,13,.15,0,0,.01
Brian Thomas,12,.25,40,13.33,.06
Josh Palmer,12,.17,34,17,.29
