name,college,season,games,rush_attempts,rush_yards,rush_tds,receptions,targets,receiving_yards,receiving_tds,missed_tackles_forced,yards_after_contact_per_attempt,explosive_runs_10plus,draft_pick,age
Jeremiyah Love,Notre Dame,2025,12,199,1372,18,27,34,280,3,56,4.5,39,3,21
Jadarian Price,Notre Dame,2025,12,113,674,11,6,,87,2,,,,32,22
Kaelon Black,Indiana,2025,16,186,1040,10,4,,36,0,,,,90,24
Jonah Coleman,Washington,2025,12,156,758,15,31,,354,2,,,,108,23
Mike Washington Jr.,Arkansas,2025,12,167,1070,8,28,43,226,1,,,,122,23
Emmett Johnson,Nebraska,2025,12,251,1451,12,46,,370,3,,,,161,22
Nicholas Singleton,Penn State,2025,12,123,549,13,24,,219,1,,,,165,22
Adam Randall,Clemson,2025,13,168,814,10,36,,254,3,,,,174,22
Kaytron Allen,Penn State,2025,12,210,1303,15,18,23,68,0,,,,187,23
Demond Claiborne,Wake Forest,2025,12,179,907,10,28,39,140,0,,,,198,22
Seth McGowan,Kentucky,2025,11,165,725,12,19,,126,0,,,,237,24
Jam Miller,Alabama,2025,11,130,504,3,19,24,109,0,22,2.5,,245,22
